,RoomCount,Floor,Size(m2),District,Price(TL),Age_labeled
3020,4,2.0,130.0,Etimesgut,2355000,5
3021,3,3.0,95.0,Etimesgut,4573500,0
3022,5,10.0,180.0,Etimesgut,8677500,8
3023,3,4.0,120.0,Etimesgut,2250000,2
3024,4,1.0,150.0,Etimesgut,5670000,0
3025,5,3.0,160.0,Etimesgut,3748500,8
3026,4,3.0,165.0,Etimesgut,6520500,0
3027,4,2.0,165.0,Etimesgut,6523500,0
3028,4,1.0,130.0,Etimesgut,2683500,2
3030,3,1.0,100.0,Etimesgut,4125000,1
3031,3,1.0,95.0,Etimesgut,3885000,0
3032,5,6.0,180.0,Etimesgut,10498500,0
3033,5,7.0,175.0,Etimesgut,8250000,0
3034,5,10.0,195.0,Etimesgut,9285000,0
3035,5,3.0,150.0,Etimesgut,4125000,8
3036,4,2.0,120.0,Etimesgut,3000000,2
3037,4,2.0,160.0,Etimesgut,6600000,0
3038,4,3.0,120.0,Etimesgut,3360000,6
3039,4,2.0,120.0,Etimesgut,3390000,2
3040,3,4.0,90.0,Etimesgut,3210000,5
3041,6,4.0,290.0,Etimesgut,4275000,3
3042,4,0.0,120.0,Etimesgut,2775000,3
3043,3,6.0,95.0,Etimesgut,2400000,8
3044,4,3.0,110.0,Etimesgut,4027500,3
3045,4,3.0,110.0,Etimesgut,3150000,3
3046,4,3.0,145.0,Etimesgut,10485000,0
3047,4,1.0,135.0,Etimesgut,5773500,0
3048,2,11.0,65.0,Etimesgut,4275000,8
3049,4,1.0,120.0,Etimesgut,3540000,3
3050,4,2.0,95.0,Etimesgut,3225000,5
3051,5,1.0,165.0,Etimesgut,6225000,7
3052,4,3.0,160.0,Etimesgut,6598500,0
3055,4,3.0,130.0,Etimesgut,2400000,2
3056,6,3.0,280.0,Etimesgut,4273500,3
3057,4,10.0,136.0,Etimesgut,5100000,2
3058,3,1.0,115.0,Etimesgut,3802500,2
3059,3,2.0,105.0,Etimesgut,3825000,0
3060,4,3.0,155.0,Etimesgut,3283500,2
3061,3,4.0,95.0,Etimesgut,2250000,2
3062,4,14.0,160.0,Etimesgut,5512500,8
3063,2,1.0,79.0,Etimesgut,3150000,8
3064,4,8.0,140.0,Etimesgut,5100000,2
3065,4,2.0,200.0,Etimesgut,9000000,0
3066,3,2.0,95.0,Etimesgut,4200000,0
3067,4,3.0,115.0,Etimesgut,2602500,3
3068,4,3.0,120.0,Etimesgut,3855000,5
3069,3,4.0,95.0,Etimesgut,3930000,7
3070,4,4.0,165.0,Etimesgut,5848500,0
3071,4,2.0,130.0,Etimesgut,3748500,2
3072,4,9.0,140.0,Etimesgut,7882500,0
3073,3,0.0,88.0,Etimesgut,3480000,0
3074,4,14.0,165.0,Etimesgut,6750000,8
3075,5,3.0,180.0,Etimesgut,3900000,2
3076,4,1.0,110.0,Etimesgut,5025000,0
3077,2,0.0,74.0,Etimesgut,2970000,0
3078,1,2.0,110.0,Etimesgut,2767500,8
3079,4,5.0,170.0,Etimesgut,6075000,7
3080,3,3.0,85.0,Etimesgut,4185000,0
3081,5,3.0,188.0,Etimesgut,6337500,4
3082,3,1.0,100.0,Etimesgut,3223500,8
3083,5,0.0,175.0,Etimesgut,6750000,8
3084,2,1.0,65.0,Etimesgut,3525000,8
3085,2,6.0,55.0,Etimesgut,2835000,8
3086,3,1.0,115.0,Etimesgut,1927500,2
3087,4,1.0,105.0,Etimesgut,2925000,3
3088,4,1.0,130.0,Etimesgut,3135000,2
3089,3,1.0,90.0,Etimesgut,7725000,0
3090,4,3.0,105.0,Etimesgut,2565000,5
3091,4,1.0,135.0,Etimesgut,3435000,2
3092,4,1.0,120.0,Etimesgut,3148500,2
3093,4,1.0,110.0,Etimesgut,2083500,5
3094,3,5.0,120.0,Etimesgut,2235000,2
3096,4,1.0,135.0,Etimesgut,5323500,0
3097,3,-1.0,100.0,Etimesgut,3778500,0
3098,4,1.0,110.0,Etimesgut,3075000,3
3099,2,4.0,58.0,Etimesgut,2250000,5
3100,6,3.0,220.0,Etimesgut,3373500,3
3101,4,2.0,140.0,Etimesgut,4135500,4
3102,4,3.0,165.0,Etimesgut,4273500,8
3103,4,-1.0,110.0,Etimesgut,2173500,8
3104,3,1.0,110.0,Etimesgut,2548500,2
3105,4,1.0,135.0,Etimesgut,2842500,8
3106,4,1.0,130.0,Etimesgut,3435000,3
3107,6,3.0,280.0,Etimesgut,4275000,3
3108,4,1.0,125.0,Etimesgut,5323500,0
3109,6,2.0,270.0,Etimesgut,11850000,0
3110,4,2.0,135.0,Etimesgut,3568500,8
3111,3,2.0,90.0,Etimesgut,3225000,2
3112,3,1.0,110.0,Etimesgut,3225000,2
3114,4,7.0,125.0,Etimesgut,4875000,2
3116,4,1.0,140.0,Etimesgut,3435000,2
3117,5,9.0,250.0,Etimesgut,11400000,1
3118,3,4.0,160.0,Etimesgut,2788500,2
3119,5,1.0,165.0,Etimesgut,4200000,7
3120,4,1.0,130.0,Etimesgut,5175000,2
3121,5,3.0,185.0,Etimesgut,8625000,8
3122,5,4.0,165.0,Etimesgut,3225000,2
3123,6,6.0,265.0,Etimesgut,9525000,8
3124,4,3.0,155.0,Etimesgut,5250000,0
3125,4,2.0,140.0,Etimesgut,4425000,3
3126,3,1.0,80.0,Etimesgut,5250000,0
3127,5,14.0,250.0,Etimesgut,10500000,1
3128,3,1.0,110.0,Etimesgut,2145000,8
3129,4,7.0,140.0,Etimesgut,5925000,2
3130,4,4.0,125.0,Etimesgut,2775000,3
3131,4,1.0,120.0,Etimesgut,3208500,2
3132,1,4.0,50.0,Etimesgut,2062500,8
3133,5,2.0,200.0,Etimesgut,11625000,2
3134,3,7.0,78.0,Etimesgut,5925000,0
3135,4,2.0,130.0,Etimesgut,3673500,2
3136,5,2.0,165.0,Etimesgut,5625000,0
3137,5,1.0,220.0,Etimesgut,8400000,8
3138,5,5.0,185.0,Etimesgut,5925000,8
3139,4,2.0,165.0,Etimesgut,4273500,8
3140,6,3.0,230.0,Etimesgut,3825000,2
3141,4,2.0,120.0,Etimesgut,3375000,8
3142,5,3.0,260.0,Etimesgut,4425000,2
3143,3,3.0,100.0,Etimesgut,4125000,6
3144,4,4.0,155.0,Etimesgut,6148500,0
3145,4,1.0,135.0,Etimesgut,4875000,2
3146,4,9.0,118.0,Etimesgut,2925000,8
3147,4,7.0,134.0,Etimesgut,3885000,2
3148,4,11.0,194.0,Etimesgut,3975000,8
3149,4,6.0,137.0,Etimesgut,3900000,8
3150,4,6.0,118.0,Etimesgut,3225000,8
3151,4,12.0,118.0,Etimesgut,3750000,8
3152,4,6.0,137.0,Etimesgut,3825000,8
3153,4,9.0,134.0,Etimesgut,3975000,2
3154,3,3.0,94.0,Etimesgut,2625000,2
3155,3,1.0,94.0,Etimesgut,2475000,2
3157,5,1.0,200.0,Etimesgut,9300000,0
3158,3,6.0,94.0,Etimesgut,2580000,2
3159,5,14.0,192.0,Etimesgut,5100000,2
3160,5,13.0,197.0,Etimesgut,4912500,2
3161,5,14.0,192.0,Etimesgut,4875000,2
3162,4,7.0,134.0,Etimesgut,3735000,2
3163,5,10.0,193.0,Etimesgut,4785000,2
3164,4,7.0,134.0,Etimesgut,3750000,2
3165,4,2.0,150.0,Etimesgut,10500000,0
3166,3,-1.0,80.0,Etimesgut,1500000,5
3167,3,12.0,120.0,Etimesgut,4350000,0
3168,3,2.0,95.0,Etimesgut,4275000,0
3169,4,2.0,120.0,Etimesgut,2925000,1
3170,4,1.0,200.0,Etimesgut,5698500,8
3171,4,5.0,165.0,Etimesgut,5775000,8
3172,3,1.0,70.0,Etimesgut,3562500,0
3173,5,1.0,211.0,Etimesgut,10950000,0
3174,4,6.0,135.0,Etimesgut,3975000,8
3175,3,2.0,75.0,Etimesgut,2698500,5
3176,4,2.0,140.0,Etimesgut,4500000,0
3177,3,2.0,90.0,Etimesgut,5025000,0
3178,4,2.0,150.0,Etimesgut,3300000,2
3179,4,7.0,150.0,Etimesgut,4350000,2
3180,4,1.0,125.0,Etimesgut,3270000,2
3181,3,6.0,110.0,Etimesgut,5385000,4
3182,4,2.0,89.0,Etimesgut,3375000,2
3183,5,1.0,200.0,Etimesgut,9600000,0
3184,4,3.0,140.0,Etimesgut,4425000,2
3185,3,3.0,110.0,Etimesgut,3900000,6
3186,6,3.0,220.0,Etimesgut,3712500,3
3187,4,3.0,125.0,Etimesgut,3405000,2
3188,4,1.0,110.0,Etimesgut,2850000,5
3189,4,3.0,145.0,Etimesgut,4912500,8
3191,5,9.0,250.0,Etimesgut,10425000,4
3192,3,3.0,128.0,Etimesgut,4033500,6
3194,3,2.0,95.0,Etimesgut,3223500,2
3195,4,12.0,133.0,Etimesgut,6975000,4
3196,4,14.0,120.0,Etimesgut,3960000,5
3198,3,3.0,100.0,Etimesgut,4350000,0
3199,2,5.0,55.0,Etimesgut,2400000,5
3200,4,3.0,130.0,Etimesgut,4125000,3
3201,3,3.0,95.0,Etimesgut,4200000,0
3202,3,1.0,125.0,Etimesgut,1905000,2
3203,4,8.0,145.0,Etimesgut,5775000,6
3204,3,2.0,110.0,Etimesgut,3225000,8
3205,6,3.0,250.0,Etimesgut,5850000,6
3206,6,3.0,210.0,Etimesgut,3750000,3
3207,5,1.0,175.0,Etimesgut,9000000,1
3208,3,1.0,90.0,Etimesgut,2475000,8
3209,4,2.0,160.0,Etimesgut,6750000,0
3210,4,3.0,150.0,Etimesgut,4950000,0
3211,4,2.0,115.0,Etimesgut,2977500,5
3212,5,9.0,205.0,Etimesgut,6337500,8
3213,4,1.0,150.0,Etimesgut,9337500,1
3214,4,4.0,125.0,Etimesgut,3373500,3
3215,6,6.0,280.0,Etimesgut,5212500,8
3216,3,1.0,76.0,Etimesgut,3487500,6
3217,6,3.0,290.0,Etimesgut,4800000,2
3218,3,5.0,110.0,Etimesgut,3750000,7
3219,4,3.0,145.0,Etimesgut,4425000,3
3220,5,3.0,280.0,Etimesgut,4425000,2
3221,4,3.0,150.0,Etimesgut,4725000,0
3222,4,1.0,140.0,Etimesgut,2445000,2
3223,4,3.0,135.0,Etimesgut,2818500,2
3224,4,8.0,120.0,Etimesgut,4875000,3
3225,4,9.0,160.0,Etimesgut,4875000,2
3226,4,3.0,120.0,Etimesgut,6300000,3
3227,3,1.0,74.0,Etimesgut,3262500,5
3228,4,2.0,140.0,Etimesgut,4123500,8
3229,3,1.0,100.0,Etimesgut,3225000,2
3230,4,2.0,130.0,Etimesgut,2946000,2
3231,4,1.0,120.0,Etimesgut,2511000,2
3232,3,3.0,115.0,Etimesgut,3148500,8
3233,3,1.0,115.0,Etimesgut,3225000,8
3234,4,4.0,135.0,Etimesgut,2925000,3
3237,4,2.0,135.0,Etimesgut,3673500,2
3238,4,1.0,130.0,Etimesgut,4500000,0
3239,4,1.0,160.0,Etimesgut,7723500,0
3240,3,2.0,105.0,Etimesgut,3225000,2
3242,3,2.0,110.0,Etimesgut,4500000,0
3243,4,9.0,130.0,Etimesgut,3375000,3
3244,6,7.0,300.0,Etimesgut,11325000,2
3245,3,2.0,90.0,Etimesgut,3037500,5
3246,4,1.0,105.0,Etimesgut,2100000,2
3247,4,5.0,165.0,Etimesgut,5370000,7
3248,4,3.0,140.0,Etimesgut,4950000,0
3249,4,1.0,120.0,Etimesgut,3150000,2
3250,5,1.0,200.0,Etimesgut,6675000,8
3251,5,3.0,180.0,Etimesgut,6975000,0
3252,5,1.0,155.0,Etimesgut,1993500,3
3253,5,3.0,190.0,Etimesgut,7800000,0
3254,4,3.0,130.0,Etimesgut,3900000,3
3255,4,1.0,135.0,Etimesgut,3825000,7
3256,3,2.0,95.0,Etimesgut,3375000,5
3257,4,6.0,135.0,Etimesgut,4500000,2
3258,3,0.0,95.0,Etimesgut,4275000,0
3259,3,1.0,95.0,Etimesgut,2250000,3
3260,4,1.0,130.0,Etimesgut,2295000,5
3261,3,2.0,105.0,Etimesgut,4350000,8
3262,3,-1.0,85.0,Etimesgut,1455000,2
3263,5,15.0,190.0,Etimesgut,10200000,0
3264,3,-1.0,100.0,Etimesgut,2025000,2
3265,4,2.0,120.0,Etimesgut,2767500,2
3266,3,1.0,100.0,Etimesgut,3450000,0
3267,4,1.0,167.0,Etimesgut,7350000,8
3268,4,1.0,115.0,Etimesgut,2400000,3
3269,3,2.0,100.0,Etimesgut,4155000,0
3270,3,15.0,90.0,Etimesgut,4500000,7
3271,6,3.0,240.0,Etimesgut,3750000,3
3272,4,4.0,135.0,Etimesgut,3223500,2
3273,4,1.0,140.0,Etimesgut,4725000,0
3274,4,1.0,140.0,Etimesgut,4425000,0
3275,5,26.0,185.0,Etimesgut,9750000,8
3276,3,1.0,110.0,Etimesgut,2685000,5
3277,2,2.0,70.0,Etimesgut,2025000,8
3278,2,2.0,52.0,Etimesgut,2475000,5
3279,4,3.0,140.0,Etimesgut,5175000,2
3280,4,3.0,130.0,Etimesgut,4050000,2
3281,3,2.0,80.0,Etimesgut,3000000,3
3282,4,2.0,115.0,Etimesgut,3300000,3
3283,3,3.0,79.0,Etimesgut,3577500,5
3284,4,1.0,120.0,Etimesgut,4500000,8
3285,4,3.0,120.0,Etimesgut,2548500,5
3286,4,1.0,110.0,Etimesgut,2233500,2
3287,4,3.0,125.0,Etimesgut,2925000,2
3288,2,0.0,55.0,Etimesgut,2325000,5
3289,4,2.0,145.0,Etimesgut,4275000,2
3290,4,-2.0,115.0,Etimesgut,1942500,2
3291,4,2.0,155.0,Etimesgut,4275000,3
3292,3,1.0,85.0,Etimesgut,2473500,1
3293,4,4.0,180.0,Etimesgut,4462500,7
3294,5,1.0,175.0,Etimesgut,4035000,3
3295,4,3.0,120.0,Etimesgut,4395000,0
3296,4,1.0,130.0,Etimesgut,3202500,2
3297,3,0.0,90.0,Etimesgut,1695000,2
3298,7,4.0,260.0,Etimesgut,3748500,2
3299,4,1.0,140.0,Etimesgut,5542500,0
3300,3,1.0,75.0,Etimesgut,2475000,8
3301,4,2.0,155.0,Etimesgut,3675000,8
3302,2,0.0,75.0,Etimesgut,3750000,8
3303,3,0.0,90.0,Etimesgut,4425000,8
3304,4,1.0,125.0,Etimesgut,2368500,2
3305,3,5.0,80.0,Etimesgut,4125000,7
3306,3,1.0,105.0,Etimesgut,4198500,0
3307,5,5.0,170.0,Etimesgut,6825000,0
3308,5,3.0,200.0,Etimesgut,10275000,0
3309,4,12.0,120.0,Etimesgut,5325000,2
3310,2,7.0,65.0,Etimesgut,2655000,8
3311,3,0.0,120.0,Etimesgut,2835000,2
3312,9,24.0,290.0,Etimesgut,11025000,8
3313,5,1.0,185.0,Etimesgut,4650000,8
3314,3,4.0,90.0,Etimesgut,2902500,5
3315,3,1.0,90.0,Etimesgut,3825000,0
3316,5,1.0,175.0,Etimesgut,7875000,0
3317,3,4.0,90.0,Etimesgut,4635000,0
3318,3,3.0,90.0,Etimesgut,4680000,0
3319,4,1.0,130.0,Etimesgut,4035000,0
3320,4,4.0,200.0,Etimesgut,4500000,8
3321,4,3.0,145.0,Etimesgut,2967000,2
3322,2,2.0,52.0,Etimesgut,2512500,5
3324,4,1.0,130.0,Etimesgut,3112500,2
3325,4,1.0,150.0,Etimesgut,4948500,0
3326,7,5.0,380.0,Etimesgut,7462500,8
3327,3,1.0,105.0,Etimesgut,2392500,2
3328,3,0.0,90.0,Etimesgut,4275000,0
3329,4,1.0,125.0,Etimesgut,3673500,2
3330,4,1.0,135.0,Etimesgut,3592500,2
3331,4,1.0,135.0,Etimesgut,3742500,2
3332,3,2.0,102.0,Etimesgut,4275000,0
3333,4,2.0,125.0,Etimesgut,3375000,8
3334,4,9.0,145.0,Etimesgut,5325000,2
3336,6,3.0,270.0,Etimesgut,3300000,3
3337,4,1.0,137.0,Etimesgut,2970000,2
3338,4,2.0,125.0,Etimesgut,3135000,8
3339,4,4.0,130.0,Etimesgut,3223500,2
3340,4,9.0,185.0,Etimesgut,6750000,8
3341,3,1.0,105.0,Etimesgut,2691000,2
3342,4,1.0,115.0,Etimesgut,3883500,0
3343,4,1.0,160.0,Etimesgut,5775000,8
3344,1,0.0,60.0,Etimesgut,1350000,8
3345,4,2.0,130.0,Etimesgut,3105000,5
3346,4,3.0,130.0,Etimesgut,4033500,6
3347,3,9.0,110.0,Etimesgut,2685000,2
3349,4,5.0,138.0,Etimesgut,5685000,1
3350,4,1.0,115.0,Etimesgut,3472500,5
3351,2,3.0,65.0,Etimesgut,3300000,8
3352,2,13.0,74.0,Etimesgut,3450000,8
3353,4,2.0,125.0,Etimesgut,3103500,8
3354,2,3.0,65.0,Etimesgut,2925000,8
3355,3,1.0,95.0,Etimesgut,2850000,2
3356,4,1.0,145.0,Etimesgut,3825000,8
3357,4,3.0,170.0,Etimesgut,4800000,0
3358,3,7.0,110.0,Etimesgut,4200000,0
3359,4,3.0,130.0,Etimesgut,2850000,2
3360,4,1.0,110.0,Etimesgut,2542500,3
3361,4,2.0,135.0,Etimesgut,5398500,0
3362,4,3.0,140.0,Etimesgut,3748500,8
3363,4,1.0,140.0,Etimesgut,3675000,2
3364,4,3.0,130.0,Etimesgut,4648500,0
3365,3,1.0,95.0,Etimesgut,4050000,0
3366,5,4.0,165.0,Etimesgut,5775000,8
3367,4,1.0,125.0,Etimesgut,3748500,2
3368,4,1.0,120.0,Etimesgut,3735000,3
3369,3,1.0,90.0,Etimesgut,2070000,7
3370,5,7.0,200.0,Etimesgut,6750000,1
3371,4,3.0,135.0,Etimesgut,2917500,2
3372,3,1.0,95.0,Etimesgut,4125000,0
3373,2,2.0,55.0,Etimesgut,2362500,5
3374,4,3.0,170.0,Etimesgut,8625000,7
3375,4,2.0,130.0,Etimesgut,3523500,2
3376,6,3.0,250.0,Etimesgut,3075000,2
3377,4,3.0,300.0,Etimesgut,3733500,3
3378,4,2.0,130.0,Etimesgut,2623500,2
3379,4,1.0,120.0,Etimesgut,3750000,2
3380,4,4.0,130.0,Etimesgut,4125000,2
3381,5,14.0,250.0,Etimesgut,9000000,1
3382,5,10.0,155.0,Etimesgut,7125000,8
3384,4,1.0,150.0,Etimesgut,2923500,8
3385,4,3.0,100.0,Etimesgut,2548500,5
3386,4,9.0,128.0,Etimesgut,3945000,5
3387,2,1.0,55.0,Etimesgut,2625000,5
3388,6,3.0,230.0,Etimesgut,3525000,3
3389,5,11.0,195.0,Etimesgut,8548500,0
3390,3,1.0,128.0,Etimesgut,3750000,2
3391,4,1.0,132.0,Etimesgut,3375000,2
3392,4,3.0,185.0,Etimesgut,7050000,8
3393,3,3.0,95.0,Etimesgut,2490000,2
3394,4,0.0,95.0,Etimesgut,2535000,5
3395,4,-1.0,135.0,Etimesgut,2655000,2
3396,4,9.0,147.0,Etimesgut,5625000,3
3397,4,2.0,140.0,Etimesgut,3748500,8
3398,4,1.0,105.0,Etimesgut,2550000,3
3399,3,6.0,94.0,Etimesgut,2535000,2
3400,4,2.0,115.0,Etimesgut,2699850,2
3401,3,1.0,100.0,Etimesgut,3487500,3
3402,3,8.0,96.0,Etimesgut,2325000,2
3403,3,6.0,96.0,Etimesgut,2250000,2
3404,4,1.0,120.0,Etimesgut,2698500,3
3405,4,2.0,120.0,Etimesgut,3150000,2
3406,6,4.0,290.0,Etimesgut,4200000,2
3407,3,3.0,110.0,Etimesgut,2775000,2
3408,4,3.0,170.0,Etimesgut,5698500,8
3409,5,2.0,175.0,Etimesgut,10050000,0
3410,5,1.0,175.0,Etimesgut,9150000,0
3411,3,1.0,100.0,Etimesgut,2548500,2
3412,4,2.0,130.0,Etimesgut,3225000,2
3413,4,1.0,140.0,Etimesgut,3073500,2
3414,4,6.0,137.0,Etimesgut,2850000,2
3415,8,3.0,320.0,Etimesgut,5700000,8
3416,4,3.0,120.0,Etimesgut,4650000,0
3417,7,3.0,350.0,Etimesgut,6300000,3
3418,4,3.0,159.0,Etimesgut,5400000,2
3419,4,-2.0,110.0,Etimesgut,2070000,2
3420,3,5.0,97.0,Etimesgut,3735000,7
3421,3,1.0,95.0,Etimesgut,2698500,8
3422,4,2.0,120.0,Etimesgut,3750000,2
3423,4,3.0,145.0,Etimesgut,4498500,4
3424,5,3.0,193.0,Etimesgut,6937500,4
3426,4,1.0,120.0,Etimesgut,3750000,5
3427,1,1.0,43.0,Etimesgut,2512500,8
3428,3,1.0,130.0,Etimesgut,2548500,8
3429,4,10.0,135.0,Etimesgut,5437500,3
3430,4,1.0,100.0,Etimesgut,2332500,3
3431,5,1.0,175.0,Etimesgut,5962500,3
3432,4,3.0,135.0,Etimesgut,3223500,8
3433,4,1.0,150.0,Etimesgut,4800000,0
3434,4,3.0,140.0,Etimesgut,3735000,3
3435,4,2.0,135.0,Etimesgut,3945000,5
3436,4,1.0,125.0,Etimesgut,2925000,8
3437,3,1.0,78.0,Etimesgut,2130000,3
3438,4,3.0,130.0,Etimesgut,4425000,2
3439,5,-1.0,150.0,Etimesgut,2085000,2
3440,4,12.0,140.0,Etimesgut,5325000,3
3441,4,3.0,130.0,Etimesgut,4650000,0
3442,4,2.0,125.0,Etimesgut,2850000,2
3443,4,1.0,105.0,Etimesgut,3150000,2
3444,5,14.0,210.0,Etimesgut,11475000,0
3445,4,-1.0,115.0,Etimesgut,2158500,3
3446,4,2.0,120.0,Etimesgut,3367500,7
3447,4,1.0,125.0,Etimesgut,1530000,2
3448,4,2.0,130.0,Etimesgut,3450000,2
3449,4,2.0,165.0,Etimesgut,6750000,2
3450,4,4.0,120.0,Etimesgut,2700000,5
3451,4,6.0,170.0,Etimesgut,7125000,0
3452,3,1.0,110.0,Etimesgut,4650000,0
3453,4,5.0,110.0,Etimesgut,3150000,5
3454,5,3.0,195.0,Etimesgut,3742500,8
3455,5,2.0,185.0,Etimesgut,6900000,8
3456,2,1.0,75.0,Etimesgut,1875000,8
3457,4,2.0,135.0,Etimesgut,3525000,3
3458,4,3.0,135.0,Etimesgut,3525000,8
3459,4,3.0,125.0,Etimesgut,3525000,5
3460,4,0.0,120.0,Etimesgut,4537500,8
3461,4,6.0,145.0,Etimesgut,4275000,3
3462,2,2.0,55.0,Etimesgut,2325000,5
3463,3,2.0,85.0,Etimesgut,2887500,5
3464,4,5.0,120.0,Etimesgut,5235000,3
3465,4,2.0,125.0,Etimesgut,5250000,0
3466,4,1.0,125.0,Etimesgut,5400000,0
3467,4,3.0,135.0,Etimesgut,3442500,2
3468,4,3.0,120.0,Etimesgut,2775000,5
3469,4,1.0,120.0,Etimesgut,2505000,2
3470,4,2.0,110.0,Etimesgut,2968500,3
3471,4,8.0,145.0,Etimesgut,5473500,6
3472,4,1.0,130.0,Etimesgut,3442500,2
3473,5,3.0,175.0,Etimesgut,3420000,8
3474,4,-1.0,110.0,Etimesgut,2173500,2
3475,4,1.0,150.0,Etimesgut,3525000,8
3476,4,5.0,150.0,Etimesgut,8325000,7
3477,4,2.0,160.0,Etimesgut,5092500,2
3478,4,5.0,125.0,Etimesgut,3150000,3
3479,4,1.0,130.0,Etimesgut,3442500,8
3480,5,2.0,210.0,Etimesgut,11400000,0
3481,4,-1.0,115.0,Etimesgut,2295000,2
3482,4,1.0,135.0,Etimesgut,3442500,2
3483,4,2.0,175.0,Etimesgut,5698500,0
3484,4,2.0,120.0,Etimesgut,2578500,2
3485,4,-1.0,100.0,Etimesgut,2173500,3
3486,4,-1.0,110.0,Etimesgut,2166000,2
3487,4,2.0,110.0,Etimesgut,2775000,3
3488,4,3.0,125.0,Etimesgut,2527500,3
3489,4,4.0,144.0,Etimesgut,5925000,5
3490,3,0.0,95.0,Etimesgut,3675000,5
3491,4,1.0,125.0,Etimesgut,2760000,2
3492,4,6.0,165.0,Etimesgut,5550000,7
3494,5,1.0,170.0,Etimesgut,4198500,2
3495,4,2.0,125.0,Etimesgut,3487500,8
3496,2,2.0,65.0,Etimesgut,2775000,5
3497,4,3.0,150.0,Etimesgut,4425000,3
3498,3,5.0,90.0,Etimesgut,4425000,8
3499,4,2.0,120.0,Etimesgut,3225000,3
3501,4,1.0,125.0,Etimesgut,2397000,3
3502,4,-1.0,130.0,Etimesgut,2173500,2
3503,4,3.0,130.0,Etimesgut,3450000,3
3504,5,8.0,185.0,Etimesgut,9525000,1
3506,3,1.0,100.0,Etimesgut,5625000,0
3507,3,9.0,93.0,Etimesgut,4725000,6
3508,4,1.0,130.0,Etimesgut,3525000,3
3509,4,3.0,120.0,Etimesgut,3570000,3
3510,4,2.0,130.0,Etimesgut,2922000,8
3511,3,1.0,110.0,Etimesgut,2692500,8
3512,4,2.0,130.0,Etimesgut,2947500,8
3514,5,1.0,150.0,Etimesgut,3075000,0
3515,4,1.0,130.0,Etimesgut,2985000,3
3516,3,1.0,115.0,Etimesgut,2698500,2
3517,4,1.0,125.0,Etimesgut,2970000,2
3518,5,3.0,160.0,Etimesgut,4320000,8
3519,2,1.0,65.0,Etimesgut,1650000,2
3520,4,4.0,165.0,Etimesgut,5962500,8
3521,4,4.0,135.0,Etimesgut,4125000,2
3522,4,4.0,155.0,Etimesgut,5775000,0
3523,6,4.0,350.0,Etimesgut,7425000,8
3524,4,3.0,120.0,Etimesgut,3750000,3
3525,4,1.0,140.0,Etimesgut,3975000,2
3526,4,4.0,140.0,Etimesgut,4260000,5
3527,4,1.0,135.0,Etimesgut,3300000,2
3528,5,3.0,200.0,Etimesgut,3103500,5
3529,3,3.0,100.0,Etimesgut,2520000,8
3530,4,-2.0,115.0,Etimesgut,1950000,8
3531,4,1.0,130.0,Etimesgut,3427500,2
3532,3,3.0,95.0,Etimesgut,4273500,0
3533,3,1.0,95.0,Etimesgut,3900000,0
3534,5,1.0,185.0,Etimesgut,7800000,0
3535,4,10.0,145.0,Etimesgut,5625000,2
3536,4,4.0,145.0,Etimesgut,4425000,2
3537,4,1.0,135.0,Etimesgut,2977500,8
3538,5,3.0,170.0,Etimesgut,4320000,8
3539,4,7.0,133.0,Etimesgut,4537500,5
3540,5,3.0,170.0,Etimesgut,4320000,2
3541,3,4.0,145.0,Etimesgut,2977500,8
3542,5,3.0,180.0,Etimesgut,8325000,0
3543,4,3.0,135.0,Etimesgut,3373500,3
3544,4,9.0,165.0,Etimesgut,4575000,2
3545,3,-1.0,85.0,Etimesgut,1725000,2
3546,4,4.0,145.0,Etimesgut,2535000,2
3547,3,0.0,130.0,Etimesgut,3900000,8
3548,5,3.0,190.0,Etimesgut,4650000,8
3549,4,1.0,145.0,Etimesgut,3202500,5
3550,4,3.0,120.0,Etimesgut,3375000,8
3551,5,3.0,150.0,Etimesgut,4318500,8
3552,4,7.0,140.0,Etimesgut,4425000,3
3553,4,3.0,120.0,Etimesgut,4348500,0
3554,5,3.0,200.0,Etimesgut,4320000,8
3555,4,3.0,155.0,Etimesgut,4650000,8
3556,4,3.0,130.0,Etimesgut,4192500,8
3559,4,7.0,120.0,Etimesgut,2850000,5
3560,5,3.0,210.0,Etimesgut,2917500,2
3561,4,3.0,130.0,Etimesgut,3247500,8
3562,4,5.0,118.0,Etimesgut,2850000,8
3563,3,1.0,86.0,Etimesgut,2325000,2
3564,3,6.0,90.0,Etimesgut,4455000,7
3565,4,1.0,110.0,Etimesgut,2325000,5
3566,4,1.0,100.0,Etimesgut,2098500,2
3567,4,1.0,125.0,Etimesgut,4725000,0
3568,7,4.0,330.0,Etimesgut,4275000,2
3569,4,3.0,110.0,Etimesgut,2625000,3
3570,4,1.0,120.0,Etimesgut,4215000,2
3571,3,2.0,119.0,Etimesgut,3900000,0
3572,3,6.0,75.0,Etimesgut,2775000,3
3573,4,1.0,145.0,Etimesgut,2764500,2
3574,3,10.0,96.0,Etimesgut,2325000,2
3575,4,1.0,135.0,Etimesgut,5100000,0
3576,4,4.0,160.0,Etimesgut,4200000,2
3577,5,3.0,290.0,Etimesgut,3300000,2
3578,3,0.0,90.0,Etimesgut,1972500,2
3579,3,-1.0,95.0,Etimesgut,2385000,4
